MonoNS,EstNS,MonoS,EstS,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,YawDeg,AngX,AngY,AngZ
351953178847,351951178847,351.953178847,351.951178847,-0.021,0.092,0.995,0.0,0.0,-0.61,,5.262,1.177,-159.806
351963533469,351961533469,351.963533469,351.961533469,-0.021,0.092,0.995,0.0,0.0,-0.61,,5.263,1.177,-159.814
351973580094,351971580094,351.973580094,351.971580094,-0.021,0.092,0.995,0.0,0.0,-0.61,,5.263,1.178,-159.82
351983849842,351981849842,351.983849842,351.981849842,-0.021,0.092,0.995,0.0,0.0,-0.61,,5.263,1.179,-159.827
351994511002,351992511002,351.994511002,351.992511002,-0.021,0.092,0.995,0.0,0.0,-0.61,,5.263,1.179,-159.834
352004475962,352002475962,352.004475962,352.002475962,-0.021,0.092,0.995,0.0,0.0,-0.61,,5.264,1.18,-159.841
352014537088,352012537088,352.014537088,352.012537088,-0.021,0.092,0.995,0.0,0.0,-0.61,,5.264,1.18,-159.848
352024562589,352022562589,352.024562589,352.022562589,-0.021,0.092,0.995,0.0,0.0,-0.671,,5.264,1.181,-159.854
352034774296,352032774296,352.034774296,352.032774296,-0.021,0.092,0.995,0.0,0.0,-0.671,,5.264,1.182,-159.861
352044821505,352042821505,352.044821505,352.042821505,-0.021,0.092,0.995,0.0,0.0,-0.671,,5.264,1.182,-159.868
352054872505,352052872505,352.054872505,352.052872505,-0.021,0.092,0.995,0.0,0.0,-0.671,,5.265,1.183,-159.875
352065195336,352063195336,352.065195336,352.063195336,-0.021,0.092,0.995,0.0,0.0,-0.671,,5.265,1.183,-159.882
352075220670,352073220670,352.07522067,352.07322067,-0.021,0.091,0.995,0.0,0.0,-0.671,-0.0006785038232803394,5.265,1.184,-159.888
352085199922,352083199922,352.085199922,352.083199922,-0.021,0.091,0.995,0.0,0.0,0.0,0.0004903224589886501,5.265,1.184,-159.895
352095257048,352093257048,352.095257048,352.093257048,-0.021,0.091,0.995,0.0,0.0,-0.671,0.00115247168144087,5.265,1.184,-159.903
352105457671,352103457671,352.105457671,352.103457671,-0.021,0.091,0.995,0.0,0.0,-0.671,0.001445652015984148,5.265,1.184,-159.909
